,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
3538,Broadcast News,en,Comedy,James L. Brooks,"['William Hurt', ' Albert Brooks', ' Holly Hunter', ' William Hurt']",1987,7.0,/lbuBF2FbPqFoMSIY8BsXNMMhctR.jpg,6.983793218070728
3539,Michael Collins,en,Biography,Neil Jordan,"['Ian McElhinney', ' Owen Roe', ' Neil Jordan', ' Liam Neeson']",1996,7.0,/hwmoOMcrtnhMYPNjZKapoF7q4cL.jpg,6.9838075062897325
3540,Bound by Honor,en,Crime,Taylor Hackford,"['Gibby Brand', ' Jesse Borrego', ' Damian Chapa']",1993,7.0,/ljWRROEZCLrBlSa4eWUBHq7zvnm.jpg,6.983825699550407
3541,Cyborg,en,Action,Albert Pyun,"['Ralf Moeller', ' Jophery C. Brown', ' Esty F. Davis Jr.', ' Jean-Claude Van Damme']",1989,5.0,/nOspcG8HP6KPdMvzezavRbzYCEw.jpg,5.014173716015481
3542,Tequila Sunrise,en,Crime,Robert Towne,"['Daniel Ades', ' Robert Towne', ' Concepta Fennell', ' Mel Gibson']",1988,6.0,/57M9kLofAmUaHaVth3nSFGi1eZ9.jpg,5.999011333289745
3543,The Man Who Knew Too Little,en,Comedy,Jon Amiel,"['Nigel Hitchcock', ' Venetia Barrett', ' Inday Ba', ' Bill Murray']",1997,6.0,/32UQkAUWy9NpuvJfF82xrMr2A0G.jpg,5.99903369787098
3544,Instinct,en,Drama,Jon Turteltaub,"['Ivonne Coll', ' Alex Kalognomos', ' Pat McNamara', ' Anthony Hopkins']",1999,6.0,/utbDE181LCMA27E1CgGtaC4XrbF.jpg,5.999045036192962
3545,Maximum Overdrive,en,Action,Stephen King,"['Stephen King', ' Armando Nannuzzi', ' Pat Miller', ' Emilio Estevez']",1986,5.0,/lgNXAQ1TlKEKzssbjcc5iEhs8mi.jpg,5.0136500514587015
3546,54,en,Drama,Mark Christopher,"['Cindy Crawford', ' Ron Jeremy', ' Ryan Phillippe']",1998,5.0,/sDYmpuHtbm4uhmcbLHlrMpY2Cfl.jpg,5.013645269098552
3547,Nurse Betty,en,Comedy,Neil LaBute,"['Elaine Corral Kendall', ' Bobby Worth', ' Lee Sung Hi', ' Renée Zellweger']",2000,6.0,/k14gKsl0WzD4R3vS7xeeWRePirJ.jpg,5.999096509381941
3548,Get Carter,en,Action,Stephen Kay,"['Steve Bing', ' Buzz Bundy', ' Ashok Amritraj', ' Sylvester Stallone']",2000,5.0,/5Dv9QJNJx4cF96lDtX4KGtplNTJ.jpg,5.013019949629332
3549,A Little Princess,en,Drama,Alfonso Cuarón,"['Rachael Bella', ' Rahi Azizi', ' Eleanor Bron', ' Liesel Matthews']",1995,7.0,/a7LslH4Ofdvi1oam9Bbhb2UyMR2.jpg,6.985188512886028
3550,The Prophecy,en,Action,Gregory Widen,"['Christopher Walken', ' Collin Butrum', ' Virginia Madsen', ' Christopher Walken']",1995,6.0,/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg,5.9989970224006415
3551,Dragon: The Bruce Lee Story,en,Action,Rob Cohen,"['Jason Scott Lee', ' Lauren Holly', ' Shannon Lee', ' Jason Scott Lee']",1993,7.0,/3YqsQjPqVEYyyuV7STAzA1I6hvK.jpg,6.983514318360038
3552,Lord of the Flies,en,Adventure,Harry Hook,"['Chris Furrh', ' Balthazar Getty', ' Ruurd M. Fenenga']",1990,6.0,/5qoLGdWbhe3lhvAbQmKsOK9I4y9.jpg,5.998989694823839
3553,Gods and Monsters,en,Biography,Bill Condon,"['Sam Irvin', ' David Dukes', ' Lynn Redgrave', ' Ian McKellen']",1998,7.0,/i7zzUK3dQdV6VGRyoKNGzBqbZKU.jpg,6.983505639535936
3554,Problem Child,en,Comedy,Dennis Dugan,"['Agim Coma', ' Amy Yasbeck', ' Vince Davis', ' Michael Oliver']",1990,5.0,/mQQIv4xsAwT9JNB6VYIaJLbkBRZ.jpg,5.014496855110099
3555,Nixon,en,Biography,Oliver Stone,"['Paul Sorvino', ' Tom Bower', ' Annabeth Gish', ' Anthony Hopkins']",1995,7.0,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,6.983467754419718
3556,Thinner,en,Fantasy,Tom Holland,"['Kari Wuhrer', ' Jamie Companeschi', ' Robert John Burke']",1996,5.0,/wmnTIiRf3Nl5jhMlqLRXQY5msN6.jpg,5.014362756972787
3557,Frankie and Johnny,en,Comedy,Garry Marshall,"['Nick Abdo', ' Gordon Belson', ' Hope Alexander-Willis', ' Al Pacino']",1991,6.0,/tkr7unuCYqSKL4PAoqp9eYXb5tm.jpg,5.999017996987858
3558,Some Kind of Wonderful,en,Drama,Howard Deutch,"['Eric Stoltz', ' Mary Stuart Masterson', ' Craig Sheffer', ' Eric Stoltz']",1987,7.0,/t5trXgQn0B6Un8JeGGWhwek95f6.jpg,6.983975574231911
3559,The Skulls,en,Action,Rob Cohen,"['Robert Thomas', ' Paul Walker III', ' Henry Alessandroni', ' Joshua Jackson']",2000,5.0,/ww0HZpFwz9HtEW3HbrKtfts2tNH.jpg,5.013995032546623
3560,The Red Violin,en,Drama,François Girard,"['Dorothée Berryman', ' Jean-Luc Bideau', ' Thomas Oláh', ' Carlo Cecchi']",1998,7.0,/lh6EZuSSmGzaRgYuJeO7uSynQR4.jpg,6.984393908933328
3561,"To Wong Foo, Thanks for Everything! Julie Newmar",en,Comedy,Beeban Kidron,"['Sarah Gyllenstierna', ' David Allan Coe', ' Naomi Campbell', ' Wesley Snipes']",1995,6.0,/xIDEoG9FQGmMCh5XsbkvSuD8WrW.jpg,5.999042767404659
